Frequency,Velocity,Vel_Std
50,95.54269334,6.444024868
39.72987024,95.87588625,6.400135488
31.56925178,95.87588625,6.134733202
25.08484553,96.54576202,6.403234217
19.93235316,98.58360252,7.761476244
15.83819609,103.1476969,6.597180316
12.58498951,115.3030267,8.436233798
10,133.4568887,8.292244815
7.945974047,141.1014841,9.527955173
6.313850356,149.7042326,11.83776205
5.016969106,180.6663652,14.2774375
3.986470631,277.231412,20.91626721
3.167639218,345.2175525,27.49911068
2.516997901,383.2218102,27.70079389
2,395.4188991,29.29501893
