Frequency,Velocity,Vel_Std
50,76.67721296,6.028196032
39.72987024,77.30968078,5.539835347
31.56925178,78.59031008,6.218560892
25.08484553,81.54982387,6.078843701
19.93235316,88.16878542,6.668268056
15.83819609,101.3825936,6.706340664
12.58498951,128.1264784,9.712575482
10,180.1742308,11.83217523
7.945974047,231.4745728,15.40794582
6.313850356,293.7396439,22.86303348
5.016969106,369.7041076,25.6706641
3.986470631,408.0045529,28.46174701
3.167639218,425.1114623,27.93106398
2.516997901,435.7179969,31.87062776
2,441.1200928,29.56045811
